-------------------------------------------
|            Входные данные               |
-------------------------------------------
X нач. = 0
X кон. = 100
dX = 0.1
Точн. = 1e-16

-------------------------------------------
|    X   |  Done  |    S    |  Count Iter |
|33.3|true |-0.07029615795|125|
|33.4|true |-0.03456067531|125|
|33.5|true |0.1400304317|126|
|33.6|true |-0.001333496338|126|
|33.7|true |-0.1163333241|126|
|33.8|true |-0.004200453063|126|
|33.9|true |0.1526363755|127|
|34|true |-0.0315202508|127|
|34.1|true |0.1884737608|127|
|34.2|true |0.04484534271|128|
|34.3|true |-0.4156789091|128|
|34.4|true |0.5465546995|128|
|34.5|true |-0.3424094869|128|
|34.6|true |0.426915262|129|
|34.7|true |-0.2760494459|129|
|34.8|true |0.5142723939|129|
|34.9|true |0.9816666547|130|
|35|true |-0.09378161241|130|
|35.1|true |-0.3218402743|130|
|35.2|true |0.2075183438|130|
|35.3|true |0.4099380461|131|
|35.4|true |1.098766263|131|
|35.5|true |-0.0451952|131|
|35.6|true |-0.7611794025|131|
|35.7|true |1.482491269|132|
|35.8|true |-0.9038526478|132|
|35.9|true |0.4164372663|132|
|36|true |-1.500167669|133|
|36.1|true |-2.776521876|133|
|36.2|true |0.01901450764|133|
|36.3|true |-1.406089898|133|
|36.4|true |-1.334091054|134|
|36.5|true |4.094102443|134|
|36.6|true |-4.117935903|134|
|36.7|true |1.339518456|135|
|36.8|true |3.253175116|135|
|36.9|true |-1.449386966|135|
|37|true |-0.4500081298|135|
|37.1|true |8.380799692|136|
|37.2|true |3.750647512|136|
|37.3|true |-0.5247795898|136|
|37.4|true |9.444439831|137|
|37.5|true |3.572322823|137|
|37.6|true |15.34098782|137|
|37.7|true |8.458961099|137|
|37.8|true |14.05309355|138|
|37.9|true |10.08216051|138|
|38|true |1.892244096|138|
|38.1|true |-11.91625306|139|
|38.2|true |-5.786189018|139|
|38.3|true |-13.23203907|139|
|38.4|true |5.117011293|139|
|38.5|true |30.13249338|140|
|38.6|true |-6.775717318|140|
|38.7|true |-15.01519786|140|
|38.8|true |24.77173441|141|
|38.9|true |4.728248381|141|
|39|true |-19.14313106|141|
|39.1|true |14.60416124|141|
|39.2|true |42.46270275|142|
|39.3|true |-61.59161858|142|
|39.4|true |-0.2855907394|142|
|39.5|true |-10.47936955|142|
|39.6|true |30.65475637|143|
|39.7|true |10.14662295|143|
|39.8|true |-14.89108483|143|
|39.9|true |-22.35599718|144|
|40|true |-3.512698893|144|
|40.1|true |-44.42724849|144|
|40.2|true |-6.799834669|144|
|40.3|true |298.3979928|145|
|40.4|true |-82.49948749|145|
|40.5|true |59.65891423|145|
|40.6|true |-156.3276733|146|
|40.7|true |-193.0813824|146|
|40.8|true |-490.3106344|146|
|40.9|true |-133.8776888|146|
|41|true |236.896426|147|
|41.1|true |-258.7614386|147|
|41.2|true |-226.0554614|147|
|41.3|true |375.3198508|148|
|41.4|true |-5.624124536|148|
|41.5|true |199.3768904|148|
|41.6|true |333.1292996|148|
|41.7|true |414.0190984|149|
|41.8|true |-340.4579231|149|
|41.9|true |-696.2298479|149|
|42|true |-556.1402389|150|
|42.1|true |-92.84968673|150|
|42.2|true |406.9769609|150|
|42.3|true |-359.2922906|150|
|42.4|true |-348.7270108|151|
|42.5|true |-2434.027316|151|
|42.6|true |1006.653323|151|
|42.7|true |1214.111027|151|
|42.8|true |45.86694659|152|
|42.9|true |349.0297831|152|
|43|true |1631.315062|152|
|43.1|true |-1676.019595|153|
|43.2|true |5622.233669|153|
|43.3|true |1413.078067|153|
|43.4|true |2626.33264|153|
|43.5|true |2484.821823|154|
|43.6|true |880.9633639|154|
|43.7|true |-7061.512168|154|
|43.8|true |-4620.686274|155|
|43.9|true |-6940.920062|155|
|44|true |-2443.623775|155|
|44.1|true |3731.749033|155|
|44.2|true |1462.050134|156|
|44.3|true |-2026.053765|156|
|44.4|true |-8785.240558|156|
|44.5|true |-608.300964|157|
|44.6|true |9399.346841|157|
|44.7|true |11071.08986|157|
|44.8|true |36.50708757|157|
|44.9|true |4264.27153|158|
|45|true |-19832.45879|158|
|45.1|true |-10508.93286|158|
|45.2|true |15322.03875|158|
|45.3|true |10988.74314|159|
|45.4|true |-7371.473436|159|
|45.5|true |14556.54184|159|
|45.6|true |-1037.83991|160|
|45.7|true |-68191.78418|160|
|45.8|true |-18416.1537|160|
|45.9|true |23740.78271|160|
|46|true |13727.80627|161|
|46.1|true |57.28346436|161|
|46.2|true |48804.60344|161|
|46.3|true |63502.6541|162|
|46.4|true |-96122.44596|162|
|46.5|true |-13919.1512|162|
|46.6|true |-15840.48198|162|
|46.7|true |-35934.05367|163|
|46.8|true |151504.3304|163|
|46.9|true |15787.75243|163|
|47|true |8944.690382|164|
|47.1|true |-26501.99398|164|
|47.2|true |-132399.7389|164|
|47.3|true |44107.20711|164|
|47.4|true |-92745.46891|165|
|47.5|true |90962.86441|165|
|47.6|true |292642.4817|165|
|47.7|true |215119.4172|165|
|47.8|true |-212725.6038|166|
|47.9|true |259454.3791|166|
|48|true |-325295.516|166|
|48.1|true |-235731.0821|167|
|48.2|true |19549.21493|167|
|48.3|true |-1309095.102|167|
|48.4|true |395467.3004|167|
|48.5|true |-843007.8728|168|
|48.6|true |209309.6038|168|
|48.7|true |-173993.6796|168|
|48.8|true |-985973.6022|169|
|48.9|true |-341693.2697|169|
|49|true |-196367.5586|169|
|49.1|true |404578.4362|169|
|49.2|true |317879.203|170|
|49.3|true |1048853.279|170|
|49.4|true |607184.4883|170|
|49.5|true |222730.9583|170|
|49.6|true |-783284.2072|171|
|49.7|true |-1588680.095|171|
|49.8|true |-2123276.575|171|
|49.9|true |-2314768.783|172|
|50|true |-522563.6678|172|
|50.1|true |67170.04874|172|
|50.2|true |-1876994.954|172|
|50.3|true |-2321028.32|173|
|50.4|true |430103.2076|173|
|50.5|true |-7423460.325|173|
|50.6|true |717232.2892|174|
|50.7|true |643803.9199|174|
|50.8|true |3273159.477|174|
|50.9|true |-1526561.749|174|
|51|true |4108111.413|175|
|51.1|true |1186174.051|175|
|51.2|true |-3088869.464|175|
|51.3|true |7165305.263|175|
|51.4|true |3447262.882|176|
|51.5|true |1369867.936|176|
|51.6|true |4133372.403|176|
|51.7|true |1448542.297|177|
|51.8|true |-8043974.294|177|
|51.9|true |-5655612.082|177|
|52|true |-1781232.897|177|
|52.1|true |-4794148.865|178|
|52.2|true |-7467848.109|178|
|52.3|true |15606428.66|178|
|52.4|true |-3795076.411|179|
|52.5|true |-20167296.98|179|
|52.6|true |26035335.63|179|
|52.7|true |14691717.97|179|
|52.8|true |393431.5936|180|
|52.9|true |3921424.708|180|
|53|true |-36465196.04|180|
|53.1|true |-27457569.1|180|
|53.2|true |115664319.3|181|
|53.3|true |-25722844.48|181|
|53.4|true |19544166.85|181|
|53.5|true |-44707076.02|182|
|53.6|true |-43876850.87|182|
|53.7|true |236581458.1|182|
|53.8|true |-54004501.68|182|
|53.9|true |7896484.289|183|
|54|true |42811315.42|183|
|54.1|true |211539790.7|183|
|54.2|true |329350215.5|184|
|54.3|true |83445304.59|184|
|54.4|true |-330265358.1|184|
|54.5|true |52622633.02|184|
|54.6|true |94955800.52|185|
|54.7|true |-126191570|185|
|54.8|true |41690307.02|185|
|54.9|true |-43357054.41|186|
|55|true |-269129454|186|
|55.1|true |-522087940|186|
|55.2|true |-724468199.2|186|
|55.3|true |15335453.65|187|
|55.4|true |-117880070|187|
|55.5|true |22800065.6|187|
|55.6|true |97447937.49|187|
|55.7|true |-142111255.3|188|
|55.8|true |-493176510.9|188|
|55.9|true |371724897.2|188|
|56|true |1459941208|189|
|56.1|true |874696203.8|189|
|56.2|true |510087776.9|189|
|56.3|true |860485974.9|189|
|56.4|true |1161879647|190|
|56.5|true |-2043109635|190|
|56.6|true |-852673026.1|190|
|56.7|true |2590789638|190|
|56.8|true |3205099598|191|
|56.9|true |2476948067|191|
|57|true |1690129424|191|
|57.1|true |3539350771|192|
|57.2|true |-1863037883|192|
|57.3|true |2513830590|192|
|57.4|true |2316633256|192|
|57.5|true |4227391044|193|
|57.6|true |-271247447.2|193|
|57.7|true |2030722090|193|
|57.8|true |3974787565|194|
|57.9|true |4549444076|194|
|58|true |-9746061999|194|
|58.1|true |-7865488076|194|
|58.2|true |-3237034084|195|
|58.3|true |1647881744|195|
|58.4|true |4534719253|195|
|58.5|true |1.99326802e+10|195|
|58.6|true |359153602.7|196|
|58.7|true |-3568435604|196|
|58.8|true |-4598981037|196|
|58.9|true |828416020.3|197|
|59|true |-101709084.9|197|
|59.1|true |-1.222820417e+10|197|
|59.2|true |-2.747951531e+10|197|
|59.3|true |1.515892289e+10|198|
|59.4|true |-3340181199|198|
|59.5|true |-2.037975447e+10|198|
|59.6|true |5.793670445e+10|199|
|59.7|true |1.343488852e+10|199|
|59.8|true |-1.504346711e+10|199|
|59.9|true |2.743584715e+10|199|
|60|true |3670766380|200|
|60.1|true |1.227699564e+10|200|
|60.2|true |-9.735508112e+10|200|
|60.3|true |2.397110949e+11|200|
|60.4|true |1.314748863e+10|201|
|60.5|true |4.201220726e+10|201|
|60.6|true |1.158527832e+11|201|
|60.7|true |-1.182644273e+11|202|
|60.8|true |-2.901582448e+11|202|
|60.9|true |-1.728756709e+11|202|
|61|true |1.66726445e+10|202|
|61.1|true |-2.626015629e+11|203|
|61.2|true |-1209143087|203|
|61.3|true |4.304780461e+10|203|
|61.4|true |1.144450701e+11|204|
|61.5|true |-2.531252376e+11|204|
|61.6|true |-5.175878217e+11|204|
|61.7|true |4.214872594e+11|204|
|61.8|true |-3.941557116e+11|205|
|61.9|true |-2.630433744e+11|205|
|62|true |-4.362709644e+11|205|
|62.1|true |-6.439555683e+11|205|
|62.2|true |-4.386525569e+11|206|
|62.3|true |1.183146747e+12|206|
|62.4|true |-1.30044715e+11|206|
|62.5|true |3.537045708e+11|207|
|62.6|true |-1.198072194e+12|207|
|62.7|true |9.791989956e+11|207|
|62.8|true |-5.742892171e+11|207|
|62.9|true |4.384158362e+11|208|
|63|true |-5.720115194e+11|208|
|63.1|true |-9.981041334e+11|208|
|63.2|true |-1.299658078e+12|209|
|63.3|true |3.042290745e+12|209|
|63.4|true |-3.176195506e+12|209|
|63.5|true |1.13641531e+12|209|
|63.6|true |-1.145990689e+12|210|
|63.7|true |-1.108773377e+11|210|
|63.8|true |-1.378446295e+12|210|
|63.9|true |-7.721715293e+12|210|
|64|true |-1.887090823e+12|211|
|64.1|true |-4.620718273e+12|211|
|64.2|true |3.028251233e+12|211|
|64.3|true |-4.788173233e+12|212|
|64.4|true |-4.853207745e+11|212|
|64.5|true |6.203778387e+12|212|
|64.6|true |-1.406686468e+12|212|
|64.7|true |9.264648672e+11|213|
|64.8|true |-1.352556299e+12|213|
|64.9|true |1.055851441e+13|213|
|65|true |2.97523461e+12|213|
|65.1|true |1.096908695e+13|214|
|65.2|true |-2.426264096e+13|214|
|65.3|true |-1.59005681e+13|214|
|65.4|true |-1.885403126e+13|215|
|65.5|true |-3.165539142e+12|215|
|65.6|true |2.506302227e+13|215|
|65.7|true |1.397173086e+13|215|
|65.8|true |-1.452195711e+13|216|
|65.9|true |-1.473115662e+13|216|
|66|true |2.545552363e+13|216|
|66.1|true |-8.568183324e+12|217|
|66.2|true |-5.953468591e+13|217|
|66.3|true |-4.112565728e+11|217|
|66.4|true |3.174082713e+13|217|
|66.5|true |2.494227801e+13|218|
|66.6|true |-2.396823192e+13|218|
|66.7|true |6.422411679e+13|218|
|66.8|true |3.515705399e+13|218|
|66.9|true |1.295750636e+14|219|
|67|true |1.37727722e+14|219|
|67.1|true |-1.722299589e+14|219|
|67.2|true |7.891838113e+12|220|
|67.3|true |3.000643123e+13|220|
|67.4|true |1.769391216e+13|220|
|67.5|true |-2.714834765e+14|220|
|67.6|true |1.210232482e+14|221|
|67.7|true |2.321621958e+14|221|
|67.8|true |-1.675490453e+14|221|
|67.9|true |1.916797108e+14|221|
|68|true |-1.890143738e+14|222|
|68.1|true |1.212205906e+13|222|
|68.2|true |-1.275934249e+14|222|
|68.3|true |5.1937991e+14|223|
|68.4|true |-1.389405939e+13|223|
|68.5|true |-4.250471744e+13|223|
|68.6|true |-4.216396406e+14|223|
|68.7|true |2.984264386e+14|224|
|68.8|true |-1.661659429e+14|224|
|68.9|true |2.917825057e+14|224|
|69|true |1.2997897e+14|225|
|69.1|true |1.683258308e+14|225|
|69.2|true |1.248181526e+15|225|
|69.3|true |8.082567766e+14|225|
|69.4|true |-1.907160591e+15|226|
|69.5|true |-9.19631524e+14|226|
|69.6|true |-1.83129968e+14|226|
|69.7|true |1.433333734e+15|226|
|69.8|true |-1.284289018e+13|227|
|69.9|true |9.554151898e+14|227|
|70|true |3.683447968e+13|227|
|70.1|true |-6.545344767e+14|228|
|70.2|true |3.155162646e+15|228|
|70.3|true |1.448457565e+15|228|
|70.4|true |-2.00699933e+15|228|
|70.5|true |-1.404548514e+15|229|
|70.6|true |1.104699229e+15|229|
|70.7|true |-9.752841716e+15|229|
|70.8|true |9.766138214e+14|229|
|70.9|true |6.794792217e+15|230|
|71|true |2.639128555e+15|230|
|71.1|true |-1.07912174e+15|230|
|71.2|true |5.296590596e+15|231|
|71.3|true |5.089092468e+14|231|
|71.4|true |-5.629960362e+15|231|
|71.5|true |-2.368662934e+15|231|
|71.6|true |-6.962468088e+15|232|
|71.7|true |-7.491978375e+15|232|
|71.8|true |3.268723338e+15|232|
|71.9|true |-5.775413634e+15|233|
|72|true |1.357031115e+15|233|
|72.1|true |-2.448387212e+15|233|
|72.2|true |1.283210569e+16|233|
|72.3|true |-2.134332243e+15|234|
|72.4|true |3.671624916e+15|234|
|72.5|true |1.2655247e+16|234|
|72.6|true |-6.294683901e+15|234|
|72.7|true |6.088256763e+15|235|
|72.8|true |-3.274335413e+16|235|
|72.9|true |-2.347337506e+16|235|
|73|true |1.4940359e+16|236|
|73.1|true |1.371809656e+16|236|
|73.2|true |-3.019895191e+16|236|
|73.3|true |-2.592399981e+16|236|
|73.4|true |1.342805738e+17|237|
|73.5|true |-1.114430055e+15|237|
|73.6|true |4.849264783e+16|237|
|73.7|true |-6.833031586e+16|237|
|73.8|true |-7.554949451e+16|238|
|73.9|true |-2.30476433e+17|238|
|74|true |-5.286662356e+15|238|
|74.1|true |9.645174116e+16|239|
|74.2|true |1.028885833e+16|239|
|74.3|true |7.649902608e+16|239|
|74.4|true |1.009073663e+16|239|
|74.5|true |-1.377393588e+17|240|
|74.6|true |3.867613749e+14|240|
|74.7|true |2.408395762e+17|240|
|74.8|true |-4.757180816e+16|241|
|74.9|true |1.400268012e+17|241|
|75|true |1.325567423e+17|241|
|75.1|true |1.453778028e+17|241|
|75.2|true |-1.317605142e+17|242|
|75.3|true |-1.916783759e+17|242|
|75.4|true |1.279762724e+16|242|
|75.5|true |-2.733592545e+17|242|
|75.6|true |4.286827871e+17|243|
|75.7|true |2.570705336e+17|243|
|75.8|true |1.455335475e+17|243|
|75.9|true |-2.405625397e+17|244|
|76|true |5.964151839e+16|244|
|76.1|true |-3.106329782e+17|244|
